scheme,model,accuracy,macro_precision,macro_recall,macro_f1
3-class,Baseline majority (3-class),0.7,0.2333333333333333,0.3333333333333333,0.2745098039215686
3-class,LR (3-class),0.6776699029126214,0.5554754617246098,0.5800489644741375,0.5649093923691266
3-class,SVM (3-class),0.7087378640776699,0.5621464379594636,0.5424498456269918,0.5503447157691779
5-class,Baseline majority (5-class),0.3990291262135922,0.07980582524271844,0.2,0.11408743927827898
5-class,LR (5-class),0.47184466019417476,0.4201248695886302,0.44044575935940233,0.42883444241743823
5-class,SVM (5-class),0.4553398058252427,0.3952512698569036,0.4007317845321442,0.3968788269677276
